id,tokens,ner_tags,Pos_Tag
003fce3a-769c-4f70-a7f1-9993f168a0db,warning,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,to,O,PART
003fce3a-769c-4f70-a7f1-9993f168a0db,all,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,sellers,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,out,O,ADV
003fce3a-769c-4f70-a7f1-9993f168a0db,there,O,ADV
003fce3a-769c-4f70-a7f1-9993f168a0db,!,O,PUNCT
003fce3a-769c-4f70-a7f1-9993f168a0db,this,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,e-commerce,O,X
003fce3a-769c-4f70-a7f1-9993f168a0db,giant,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,has,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,been,O,AUX
003fce3a-769c-4f70-a7f1-9993f168a0db,pulling,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,the,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,wool,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,over,O,ADP
003fce3a-769c-4f70-a7f1-9993f168a0db,our,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,eyes,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,.,O,PUNCT
003fce3a-769c-4f70-a7f1-9993f168a0db,they,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,launched,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,a,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,new,O,ADJ
003fce3a-769c-4f70-a7f1-9993f168a0db,business,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,initiative,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,",",O,PUNCT
003fce3a-769c-4f70-a7f1-9993f168a0db,promising,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,us,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,growth,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,and,O,CCONJ
003fce3a-769c-4f70-a7f1-9993f168a0db,success,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,.,O,PUNCT
003fce3a-769c-4f70-a7f1-9993f168a0db,but,O,CCONJ
003fce3a-769c-4f70-a7f1-9993f168a0db,all,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,theyve,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,done,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,is,O,AUX
003fce3a-769c-4f70-a7f1-9993f168a0db,inflate,B-VIOLATION,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,their,I-VIOLATION,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,earnings,I-VIOLATION,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,guidance,I-VIOLATION,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,and,I-VIOLATION,CCONJ
003fce3a-769c-4f70-a7f1-9993f168a0db,mislead,I-VIOLATION,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,us,I-VIOLATION,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,about,I-VIOLATION,ADV
003fce3a-769c-4f70-a7f1-9993f168a0db,the,I-VIOLATION,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,initiatives,I-VIOLATION,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,success,I-VIOLATION,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,.,O,PUNCT
003fce3a-769c-4f70-a7f1-9993f168a0db,theyve,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,been,O,AUX
003fce3a-769c-4f70-a7f1-9993f168a0db,reducing,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,their,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,financial,O,ADJ
003fce3a-769c-4f70-a7f1-9993f168a0db,guidance,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,",",O,PUNCT
003fce3a-769c-4f70-a7f1-9993f168a0db,blaming,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,it,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,on,O,ADP
003fce3a-769c-4f70-a7f1-9993f168a0db,softer,O,ADJ
003fce3a-769c-4f70-a7f1-9993f168a0db,sales,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,and,O,CCONJ
003fce3a-769c-4f70-a7f1-9993f168a0db,unplanned,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,expenses,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,.,O,PUNCT
003fce3a-769c-4f70-a7f1-9993f168a0db,but,O,CCONJ
003fce3a-769c-4f70-a7f1-9993f168a0db,the,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,truth,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,is,O,AUX
003fce3a-769c-4f70-a7f1-9993f168a0db,",",O,PUNCT
003fce3a-769c-4f70-a7f1-9993f168a0db,they,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,cant,O,AUX
003fce3a-769c-4f70-a7f1-9993f168a0db,handle,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,the,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,increased,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,inventory,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,levels,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,and,O,CCONJ
003fce3a-769c-4f70-a7f1-9993f168a0db,are,O,AUX
003fce3a-769c-4f70-a7f1-9993f168a0db,facing,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,margin,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,pressures,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,.,O,PUNCT
003fce3a-769c-4f70-a7f1-9993f168a0db,its,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,all,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,a,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,scheme,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,to,O,PART
003fce3a-769c-4f70-a7f1-9993f168a0db,inflate,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,their,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,stock,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,price,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,.,O,PUNCT
003fce3a-769c-4f70-a7f1-9993f168a0db,were,O,AUX
003fce3a-769c-4f70-a7f1-9993f168a0db,the,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,ones,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,paying,O,VERB
003fce3a-769c-4f70-a7f1-9993f168a0db,the,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,price,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,for,O,ADP
003fce3a-769c-4f70-a7f1-9993f168a0db,their,O,PRON
003fce3a-769c-4f70-a7f1-9993f168a0db,lies,O,NOUN
003fce3a-769c-4f70-a7f1-9993f168a0db,!,O,PUNCT
006498c1-d337-4f67-bfe9-6f8c37c0b912,another,O,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,case,O,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,that,O,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,caught,O,VERB
006498c1-d337-4f67-bfe9-6f8c37c0b912,my,O,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,attention,O,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,was,O,AUX
006498c1-d337-4f67-bfe9-6f8c37c0b912,a,O,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,violation,O,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,of,O,ADP
006498c1-d337-4f67-bfe9-6f8c37c0b912,employment,B-LAW,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,laws,I-LAW,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,by,O,ADP
006498c1-d337-4f67-bfe9-6f8c37c0b912,a,O,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,popular,B-VIOLATED BY,ADJ
006498c1-d337-4f67-bfe9-6f8c37c0b912,talent,I-VIOLATED BY,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,agency,I-VIOLATED BY,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,.,O,PUNCT
006498c1-d337-4f67-bfe9-6f8c37c0b912,they,O,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,were,O,AUX
006498c1-d337-4f67-bfe9-6f8c37c0b912,found,O,VERB
006498c1-d337-4f67-bfe9-6f8c37c0b912,guilty,O,ADJ
006498c1-d337-4f67-bfe9-6f8c37c0b912,of,O,ADP
006498c1-d337-4f67-bfe9-6f8c37c0b912,requiring,B-VIOLATION,VERB
006498c1-d337-4f67-bfe9-6f8c37c0b912,their,I-VIOLATION,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,non-union,I-VIOLATION,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,employees,I-VIOLATION,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,",",I-VIOLATION,PUNCT
006498c1-d337-4f67-bfe9-6f8c37c0b912,including,I-VIOLATION,VERB
006498c1-d337-4f67-bfe9-6f8c37c0b912,the,I-VIOLATION,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,plaintiff,I-VIOLATION,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,",",I-VIOLATION,PUNCT
006498c1-d337-4f67-bfe9-6f8c37c0b912,to,I-VIOLATION,PART
006498c1-d337-4f67-bfe9-6f8c37c0b912,work,I-VIOLATION,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,more,I-VIOLATION,ADV
006498c1-d337-4f67-bfe9-6f8c37c0b912,than,I-VIOLATION,ADP
006498c1-d337-4f67-bfe9-6f8c37c0b912,31.33,I-VIOLATION,NUM
006498c1-d337-4f67-bfe9-6f8c37c0b912,hours,I-VIOLATION,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,per,I-VIOLATION,ADP
006498c1-d337-4f67-bfe9-6f8c37c0b912,week,I-VIOLATION,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,without,I-VIOLATION,ADP
006498c1-d337-4f67-bfe9-6f8c37c0b912,providing,I-VIOLATION,VERB
006498c1-d337-4f67-bfe9-6f8c37c0b912,overtime,I-VIOLATION,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,compensation,I-VIOLATION,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,.,O,PUNCT
006498c1-d337-4f67-bfe9-6f8c37c0b912,this,O,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,was,O,AUX
006498c1-d337-4f67-bfe9-6f8c37c0b912,a,O,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,clear,O,ADJ
006498c1-d337-4f67-bfe9-6f8c37c0b912,violation,O,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,committed,O,VERB
006498c1-d337-4f67-bfe9-6f8c37c0b912,on,B-VIOLATED ON,ADP
006498c1-d337-4f67-bfe9-6f8c37c0b912,their,I-VIOLATED ON,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,non-union,I-VIOLATED ON,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,employees,I-VIOLATED ON,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,.,O,PUNCT
006498c1-d337-4f67-bfe9-6f8c37c0b912,its,O,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,disheartening,O,VERB
006498c1-d337-4f67-bfe9-6f8c37c0b912,to,O,PART
006498c1-d337-4f67-bfe9-6f8c37c0b912,see,O,VERB
006498c1-d337-4f67-bfe9-6f8c37c0b912,such,O,ADJ
006498c1-d337-4f67-bfe9-6f8c37c0b912,practices,O,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,in,O,ADP
006498c1-d337-4f67-bfe9-6f8c37c0b912,the,O,PRON
006498c1-d337-4f67-bfe9-6f8c37c0b912,entertainment,O,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,industry,O,NOUN
006498c1-d337-4f67-bfe9-6f8c37c0b912,.,O,PUNCT
007c9ffb-ad17-447e-91a9-5037ca30fa57,man,O,NOUN
